fleet,auth_bucket,carriers,unit_years,crashes,fatal,inj,crash_rate_per_unit_year,rate_se,fatal_share,inj_share
1,<1y,50069,26987.19780971937,496.0,16.0,169.0,0.01837908490896994,0.0008252452740128217,0.03225806451612903,0.3407258064516129
1,1-3y,70195,128543.15126625598,3546.0,85.0,1186.0,0.0275860671305237,0.000463255328169862,0.023970671178793007,0.3344613649182177
1,3y+,149150,447450.0,20658.0,584.0,6975.0,0.04616828695943681,0.00032121781539078955,0.02826991964372156,0.33764159163520185
2-5,<1y,7798,10654.7871321013,184.0,8.0,68.0,0.017269232854557476,0.001273104736685186,0.043478260869565216,0.3695652173913043
2-5,1-3y,19654,103844.41067761807,3106.0,68.0,1040.0,0.029910131703115787,0.0005366827045259846,0.02189311010946555,0.33483580167417903
2-5,3y+,97998,848379.0,30775.0,822.0,10586.0,0.036275061028148974,0.00020678028089861762,0.02670999187652315,0.3439805036555646
