relativity,se_log,relativity_se,p,state,unit_years,crashes,crash_rate,rel,rel_se,raw_rate_rel,current_tier,proposed_tier,flag_lt200
1.3510830837237722,0.0332387202730412,0.0449082726855324,1.3923058949704716e-19,IN,42945.20191649555,2199.0,0.0512047889372095,1.3575104712016837,0.04512191081999715,1.327622569559343,low,high,False
1.281483575284072,0.0308531464240525,0.0395378003882577,9.081429750053284e-16,NJ,50147.75222450376,2476.0,0.0493740973456861,1.2875798632060766,0.03972589005215849,1.2801569413387215,high,high,False
1.1696035097398352,0.0294695107008836,0.0344676431460691,1.0597647592419529e-07,OH,64386.1279945243,2808.0,0.0436118786369449,1.175167560569266,0.03463161300152727,1.130755844932624,low,medium,False
1.166101541566383,0.0271902161347286,0.0317065529502301,1.5903112049207723e-08,IL,80568.16358658453,3485.0,0.04325529892778,1.1716489327938564,0.031857387716689,1.121510552069202,high,medium,False
1.1369744456650817,0.0267877857253404,0.0304570278256639,1.6501415017086625e-06,FL,76398.75633127995,3387.0,0.0443331824056573,1.1423832731478683,0.030601918337298115,1.1494575949588781,high,medium,False
1.115211454681242,0.0387400100169177,0.0432033029253327,0.0048812882431528,VA,31792.867214236823,1365.0,0.0429341584954235,1.120516751021187,0.043408830158684894,1.1131841182561975,low,medium,False
1.100430392506428,0.0415456301496177,0.0457180740924707,0.0212493607560068,MI,28138.744010951403,1202.0,0.0427169030548126,1.1056653722129426,0.04593556462319831,1.1075511836752485,medium,medium,False
1.088918240121193,0.0309859752802303,0.0337411936705872,0.0059751981969286,NC,54717.681724846,2311.0,0.0422349764674081,1.0940984540882974,0.0339017076525182,1.0950559341568196,low,medium,False
1.079779731143838,0.0408355115148803,0.0440933576446586,0.0601537954495167,MO,29415.97056810404,1231.0,0.0418480157623893,1.084916471294361,0.044303119056224236,1.085022931850228,high,medium,False
1.078517116960443,0.0290070438271969,0.0312845932800536,0.009165532546885,PA,67858.01232032855,2761.0,0.0406878997128077,1.0836478505887253,0.03143342069527485,1.0549437872487095,high,medium,False
1.0647387208378134,0.0291863142957187,0.031075798949194,0.0316125504393461,GA,62885.10198494182,2670.0,0.0424583870538899,1.0698039077267638,0.03122363308570146,1.1008484575330109,high,medium,False
1.053078546886441,0.0227081253639592,0.0239134396607933,0.0227562052551928,TX,141890.44010951402,5773.0,0.040686321048439,1.05808826386614,0.02402720094200626,1.0549028561075187,high,neutral,False
1.0163949759747444,0.0532970943397392,0.0541708989209629,0.7602744725202257,OK,16884.629021218345,653.0,0.0386742284464406,1.0212301814627645,0.05442860132400992,1.0027339163286206,medium,neutral,False
1.0124827041798916,0.0888574424538476,0.0899666236221807,0.8889676943562145,DE,5615.659822039699,224.0,0.0398884560494334,1.0172992981650015,0.09039461384503616,1.0342160492262282,neutral,neutral,False
1.0,0.0,0.0,,CA,196466.75701574265,7893.0,0.0401747355119601,1.004757211125904,0.0,1.0416386181605097,high,neutral,False
0.9966777969651996,0.0387573190088936,0.0386285593260616,0.9315770860048018,MN,35456.48528405202,1391.0,0.0392311868719164,1.001419203669864,0.038812323538265185,1.0171745690744927,medium,neutral,False
0.9884063822056124,0.0624762539170621,0.0617519281079225,0.8519331160827434,AR,11968.45106091718,473.0,0.0395205693362088,0.9931084400439555,0.062045695067363536,1.0246775917175586,neutral,neutral,False
0.9610364896863066,0.0399422109632442,0.0383859222144261,0.3197313902322517,MD,32348.921971252566,1206.0,0.0372809950536136,0.965608343167442,0.03856853215066265,0.9666105744425898,medium,neutral,False
0.9559547205429644,0.0498879704800376,0.0476906408787,0.3665695872027723,AL,19550.93976728268,729.0,0.0372872101636739,0.9605023989753918,0.04791751532608965,0.9667717179715374,medium,neutral,False
0.9473048943321686,0.0658367806752885,0.0623675045607743,0.4109347430608733,LA,10671.388090349075,413.0,0.0387016193679158,0.951811423715109,0.06266419994736569,1.0034441000107777,high,neutral,False
0.930759044418862,0.0423994691338589,0.0394636893748975,0.0905787772733526,TN,29773.932238193014,1067.0,0.035836717550908,0.9351868617005072,0.039651426477060984,0.9291637760259405,low,low,False
0.923876631810166,0.0451033607055716,0.0416699409719825,0.0791822255546845,SC,24368.361396303902,869.0,0.0356609944291045,0.928271708001976,0.04186817367879018,0.9246076790798946,medium,low,False
0.9110185748546596,0.0548367283589239,0.049957278119239,0.0892354084536742,KS,17621.96646132786,615.0,0.0348996237933855,0.9153524825548635,0.050194935438527724,0.9048670872180706,low,low,False
0.9068576266497396,0.0550036755429083,0.0498805026598542,0.0754836808457744,MS,16202.200547570155,582.0,0.0359210465449572,0.9111717398408486,0.05011779474207334,0.9313502331541058,medium,low,False
0.8905432979536705,0.1069792464411186,0.0952696509382722,0.2785386916444482,ME,4304.077344284737,151.0,0.0350830126694885,0.8947798004387949,0.09572286878167674,0.909621939566335,neutral,low,True
0.8826953931272151,0.054414756112943,0.0480316545390358,0.0218458146484045,KY,18110.80013689254,619.0,0.0341785009674458,0.8868945614721842,0.048260151260404484,0.8861700286223216,low,low,False
0.8505021702874126,0.0506727721182285,0.0430973026610328,0.0013955564179869,MA,21334.14647501711,687.0,0.0322018975919424,0.8545481886745094,0.04330232562874832,0.8349212429744903,neutral,low,False
0.8488279388092943,0.063604121643529,0.0539889554744524,0.0099702959627074,NV,12374.55715263518,412.0,0.0332941207445362,0.852865992523776,0.0542457923341114,0.8632400806940822,high,low,False
0.8388414701538216,0.0393375789021051,0.0329979925185338,7.920571613328397e-06,WA,36547.61601642711,1210.0,0.0331074946025519,0.842832016128507,0.033154970935675473,0.8584012934768949,high,low,False
0.7976834277972733,0.0489842295314275,0.0390739081206375,3.938205280708725e-06,WI,23776.56605065024,739.0,0.0310810231564027,0.8014781762749398,0.03925979095108154,0.8058595432946148,low,low,False
0.7871262890972429,0.0473978924920077,0.0373081272282641,4.414580221288124e-07,AZ,24543.27241615332,752.0,0.0306397609597107,0.7908708150372279,0.03748560986620104,0.7944186280290522,medium,low,False
0.7762584988111015,0.0505442724427912,0.0392354210499404,5.419053457183024e-07,CO,22160.247775496235,654.0,0.0295123053959334,0.7799513243782232,0.039422072231488706,0.7651862948095655,neutral,low,False
0.766459331584289,0.0637205573011877,0.0488392157572467,2.992145678961888e-05,CT,13571.329226557153,395.0,0.0291054762143004,0.7701055404440548,0.0490715542178275,0.7546381485384491,neutral,low,False
0.7552408787789945,0.0564814237219046,0.04265708008642,6.691708490092754e-07,OR,17462.609171800137,522.0,0.0298924401768644,0.7588337190902594,0.0428600088224057,0.7750423165823992,medium,low,False
0.7519689622783794,0.0477880101294591,0.035935100386398,2.444851974924285e-09,IA,26103.948665297743,764.0,0.029267602759871,0.7555462373920646,0.03610605124576665,0.7588417174915048,low,low,False
0.7301181063077817,0.0454606631596918,0.0331916532976501,4.543741988794883e-12,NY,29246.29021218344,822.0,0.0281061288127945,0.7335914322863331,0.033349553000004833,0.7287273657267737,high,low,False
0.7293841638979143,0.0624412585454358,0.0455436651568962,4.335021239730737e-07,UT,15025.568788501028,425.0,0.0282851189184431,0.7328539983574677,0.045760325987495035,0.7333681680602877,low,low,False
0.7126698331217516,0.0568812356249544,0.0405375407005952,2.598126605202142e-09,NE,18341.89459274469,512.0,0.0279142373984924,0.7160601539809746,0.040730386340232856,0.7237520620917068,low,low,False
0.683366254138001,0.101453971252644,0.0693302203023438,0.0001749539111983,WV,5885.091718001369,163.0,0.0276971044480775,0.6866171716852537,0.06966003879772749,0.7181223034002038,neutral,low,True
0.6715285005572467,0.117114546249678,0.0786457556364886,0.0006736615212492,RI,4349.80013689254,111.0,0.0255184138366636,0.6747231034114592,0.07901989010020763,0.6616338598808471,neutral,low,True
0.64181790708815,0.0673381853916018,0.0432188532151517,4.5358239928422825e-11,ID,14014.281314168378,344.0,0.0245463889505498,0.6448711703765542,0.04342445442451563,0.6364314871387097,low,low,False
0.5875501699564087,0.088385836202474,0.0519311130825029,1.779764479916003e-09,ND,8452.572895277208,190.0,0.0224783627842074,0.5903452701619522,0.052178160351439566,0.5828123185050448,low,low,True
0.5620395689009042,0.1176036818970081,0.0660979226745535,9.614829488497056e-07,NH,5005.428473648186,107.0,0.0213767913303161,0.5647133097912779,0.06641236444770003,0.5542511008040645,neutral,low,True
0.5600056363138292,0.0871974959804134,0.048831089221484,2.943498166320913e-11,SD,8754.337440109513,192.0,0.0219319852945488,0.5626697013574703,0.049063389022418455,0.568646005122532,low,low,True
